¦Titol¦Autor¦Autor_id¦Editorial¦Preu_soci¦Preu_Public¦Tipus_Producte¦EAN¦Ref_Abacus¦Encuadernacio¦Coleccio¦Materia¦Ruta
35¦La sinfonía de los animales¦Brown, Dan¦A000536404¦Destino¦15,15€¦15,95€¦Libro¦9788408229605¦1339073.41¦Cartoné¦Baobab¦¦Inicio \ Libros infantiles \ Literatura infantil \ A partir de 5 años
36¦Llunari 2021¦Gros, Michel¦A000629054¦Artús Porta Manresa¦7,88€¦8,30€¦Libro¦9788494871948¦1342764.34 ¦¦Calendari¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Ciencias naturales
37¦Calendari del Patufet 2021 i les tradicions catalanes¦Prades, Hugo¦4000657457¦Cossetània¦12,06€¦12,70€¦Libro¦9788490349793¦1340497.98¦Tela¦¦¦Inicio \ Libros infantiles \ Varios \ Varios
38¦Forts lliures i nòmades¦Punset, Elsa¦A000625683¦Columna Edicions¦17,95€¦18,90€¦Libro¦9788466426954¦1339294.67¦Rústico¦No ficció¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Pedagogía y psicología
39¦Contes per a una nova realitat¦Ibarrola, Begoña¦A000533078¦Estrella Polar¦12,30€¦12,95€¦Libro¦9788418135484¦1339838.69¦Cartoné¦Contes¦¦Inicio \ Libros infantiles \ Literatura infantil \ A partir de 5 años
40¦Ley de Enjuiciamiento Civil 36ed.¦Montero Aroca, Juan¦A000126037¦Tirant lo blanch¦6,55€¦6,90€¦Libro¦9788413555973¦1342666.47¦¦¦¦Inicio \ Libros \ Libros de Economía, Empresa y Derecho \ Derecho
41¦Las siete llaves¦Rovira, Álex¦A000547946¦Zenith¦15,20€¦16,00€¦Libro¦9788408231622¦1339081.15¦¦Autoayuda y superación¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Pedagogía y psicología
42¦Ja soc gran¦Isern, Susanna¦A000646007¦La Galera¦15,67€¦16,50€¦Libro¦9788424668259¦1339716.09¦Rústico¦Narrativa singular¦¦Inicio \ Libros infantiles \ Literatura infantil \ A partir de 5 años
43¦La Criatura¦Copons, Jaume¦A000517312¦Combel¦12,25€¦12,90€¦Libro¦9788491016038¦1342136.32¦Rústico¦L'Agus i els monstres¦¦Inicio \ Libros infantiles \ Literatura infantil \ A partir de 9 años
44¦Les mares no¦Agirre, Katixa¦4000675812¦Amsterdam¦17,05€¦17,95€¦Libro¦9788417918309¦1341605.16¦¦Novel.la¦¦Inicio \ Libros \ Libros de Narrativa y Novelas
45¦Lunario 2021¦Gros, Michel¦A000629054¦Artús Porta Manresa¦7,88€¦8,30€¦Libro¦9788494871931¦1342765.78¦¦Calendari¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Ciencias naturales
46¦Virus i bactèries¦Baldó, Estel¦4000663406¦Barcanova¦6,55€¦6,90€¦Libro¦9788448952082¦1334835.46¦Grapado¦¦¦Inicio \ Libros infantiles \ Literatura infantil \ A partir de 5 años
47¦Geodetectius 1. El cicle de l'aigua¦Ganeri, Anita¦A000071408¦La Galera¦9,45€¦9,95€¦Libro¦9788424667290¦1339723.34¦¦¦¦Inicio \ Libros \ Novedades en libros
48¦Geodetectius 2. Volcans i terratrèmols¦Ganeri, Anita¦A000071408¦La Galera¦9,45€¦9,95€¦Libro¦9788424667283¦1339722.87¦¦¦¦Inicio \ Libros \ Novedades en libros
49¦Calendari Montessori 2021¦Florsdefum, Anna¦4000693371¦Timun Mas - cat¦13,25€¦13,95€¦Libro¦9788418135262¦1339847.86¦¦¦¦Inicio \ Libros infantiles \ Varios \ Varios
50¦Si nos enseñaran a perder, ganaríamos siempre¦Espinosa, Albert¦A000625686¦Grijalbo¦17,95€¦18,90€¦¦¦¦¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas
51¦Vida secreta dels virus La¦Aavv¦A000500090¦Zahorí Ideas¦14,20€¦14,95€¦Libro¦9788417374723¦1342493.91¦¦¦¦Inicio \ Libros infantiles \ Libros para aprender \ Medio natural
52¦Anhelo (Serie Crave 1)¦Wolff, Tracy¦4000693369¦Planeta¦17,57€¦18,50€¦Libro¦9788408232995¦1339094.23¦Rústico¦Planeta Internacional¦¦Inicio \ Libros \ Libros de Narrativa y Novelas
53¦Demà fem... FESTA!¦Anguera, Mercè¦A000525665¦La Galera¦18,95€¦19,95€¦Libro¦9788424668389¦1339743.62¦Rústico¦Narrativa singular¦¦Inicio \ Libros infantiles \ Libros para aprender \ Medio social y cultural
54¦Superporc¦Copons, Jaume¦A000517312¦Combel¦12,25€¦12,90€¦Libro¦9788491016380¦1342168.74¦Cartoné¦¦¦Inicio \ Libros infantiles \ Literatura infantil \ A partir de 5 años
55¦El robot del bosc¦Copons, Jaume¦A000517312¦Combel¦12,25€¦12,90€¦Libro¦9788491016366¦1342166.84¦¦¦¦Inicio \ Libros infantiles \ Literatura infantil \ A partir de 5 años
56¦Ya soy mayor¦Isern, Susanna¦A000646007¦La Galera¦15,67€¦16,50€¦Libro¦9788424668266¦1339713.69¦Rústico¦Narrativa singular¦¦Inicio \ Libros infantiles \ Literatura infantil \ A partir de 5 años
57¦No diguis res¦Keefe, Patrick Radden¦4000693724¦Periscopi¦21,75€¦22,90€¦Libro¦9788417339470¦1341576.00¦Rústico¦¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Ciencias sociales y humanas
58¦L'infinit dins d'un jonc¦Vallejo, Irene¦4000660755¦Columna Edicions¦23,70€¦24,95€¦Libro¦9788466426947¦1339836.76¦Cartoné¦No ficció¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Ciencias sociales y humanas
